id	name	idmatch	namematch
1041	Zsemlye Ildikó	5902	ZSEMLYE Ildikó
1041	Zsemlye Ildikó	3767	ZSEMLYE ILDIKÓ
19	Bálint Endre	15186	BÁLINT Endre
19	Bálint Endre	9936	BÁLINT ENDRE
13348	Koós Gábor	16628	KOÓS Gábor
12858	Szalipszki Judit	16459	SZALIPSZKI Judit
7987	Péter Ildikó	7210	PÉTER Ildikó
6347	Robitz Anikó	15466	ROBITZ Anikó
6061	Esse Bánki Ákos	16739	ESSE BÁNKI ÁKOS
6036	Stenczer Sári	9335	STENCZER Sári
2970	Kotormán Norbert	10266	KOTORMÁN NORBERT
2276	Szarka Péter	16348	SZARKA Péter
2276	Szarka Péter	8001	SZARKA PÉTER
638	Farkas Roland	9187	FARKAS Roland
587	Mattyasovszky Péter	1645	MAttyasovszky Péter
493	Gábor Áron	10850	GÁBOR Áron
13636	Don Tamás	12679	DON Tamás
8423	Lux Antal	23813	LUX Antal
8102	Rechnitzer Zsófi	9492	rechnitzer zsófi
8102	Rechnitzer Zsófi	9366	Rechnitzer zsófi
6593	Földi Péter	10607	FÖLDI PÉTER
5928	Csáji Attila	17185	CSÁJI Attila
4562	L. Simon László	23488	L. SIMON László
4376	Navratil Judit	14948	NAVRATIL Judit
2458	Siegmund Ákos	12208	SIEGMUND Ákos
880	Halász Károly	16797	HALÁSZ KÁROLY
613	Gémes Péter	16092	GÉMES PÉTER
407	Uglár Csaba	5895	UGLÁR CSABA
11596	Hardi Ágnes	12668	HARDI Ágnes
4068	Reigl Judit	16041	REIGL Judit
252	Tölg-Molnár Zoltán	11551	TÖLG-MOLNÁR ZOLTÁN
23373	Kaszás Tamás	16258	KASZÁS Tamás
11601	Tóth Balázs Máté	12675	TÓTH Balázs Máté
9412	Ladik Katalin	16343	LADIK Katalin
8485	Hantai Simon	16027	HANTAI Simon
7324	Borsos János	17182	BORSOS János
6661	Aknai Katalin	16798	AKNAI KATALIN
4650	Mayer Hella	4919	MAYER HELLA
3928	Rizmayer Péter	8091	RIZMAYER PÉTER
3928	Rizmayer Péter	8053	RIZMAYER Péter
3640	Szűcs Levente	7176	SZŰCS LEVENTE
1713	Koralevics Rita	16259	KORALEVICS Rita
1223	Szigethy Anna	10652	SZIGETHY Anna
796	Nyári István	14950	NYÁRI István
547	Mengyán András	5750	MENGYÁN ANDRÁS
309	Bartha Sándor	4620	BARTHA Sándor
197	Szépfalvi Ágnes	7818	SZÉPFALVI ÁGNES
10333	Debreczeni Imre	23242	DEBRECZENI Imre
5103	Szabó Noémi	14780	SZABÓ Noémi
5103	Szabó Noémi	6626	SZABÓ Noémi
5085	Dénes Ágnes Dóra	9183	DÉNES Ágnes Dóra
4719	Karafiáth Orsolya	11402	KARAFIÁTH Orsolya
4719	Karafiáth Orsolya	5674	karafiáth orsolya
3603	Vető János	16351	VETŐ János
3119	Tóth Krisztina	10303	TÓTH Krisztina
2625	ef Zámbó István	2	Ef Zámbó István
2625	ef Zámbó István	14584	EF Zámbó István
2625	ef Zámbó István	3762	ef ZÁMBÓ ISTVÁN
1979	Schmal Károly	17427	SCHMAL Károly
251	Szikora Tamás	11550	SZIKORA TAMÁS
10160	Solt András	16644	SOLT ANDRÁS
8957	Szombat Éva	10883	SZOMBAT Éva
8254	Vidák Zsolt	8800	Vidák zsolt
5413	Alexander Tinei	4359	Alexander TINEI
5352	Szentesi Csaba	16322	SZENTESI Csaba
4664	Révi Norbert	6006	RÉVI Norbert
4622	CHILF Mária	18098	Chilf Mária
4622	CHILF Mária	3764	CHILF MÁRIA
4412	Németh Gábor	8554	NÉMETH GÁBOR
4302	Varga Ferenc	5245	Varga ferenc
4302	Varga Ferenc	14962	VARGA Ferenc
3019	Bodó Sándor	5267	BODÓ SÁNDOR
2419	Hetey Katalin	12861	HETEY Katalin
1389	Minyó Szert Károly	9608	MINYÓ Szert Károly
1131	Rácz Márta	4618	RÁCZ Márta
378	Gellér B. István	14326	GELLÉR B. István
272	Szilágyi Teréz	2408	SZILÁGYI TERÉZ
11746	Juhász Tamás	16639	JUHÁSZ TAMÁS
10912	Vinkler Zsuzsi	11821	VINKLER Zsuzsi
10209	Jagicza Patrícia	17484	JAGICZA Patrícia
9774	Békési Ervin	13659	BÉKÉSI Ervin
6606	Gáldi Vinkó Andrea	11499	GÁLDI VINKÓ ANDREA
6549	Jahoda Réka	13650	JAHODA Réka
6549	Jahoda Réka	8100	JAHODA RÉKA
6366	Tilo Schulz	16345	Tilo SCHULZ
5998	Bakó Tamás	9491	bakó tamás
4329	Komlovszky-Szvet Tamás	8464	KOMLOVSZKY-SZVET Tamás
4114	Varga Tünde	1405	VARGA Tünde
3965	Boros Miklós János	5353	BOROS MIKLÓS JÁNOS
3751	Somogyi Laura	14952	SOMOGYI Laura
3679	Rabóczky Judit	16632	RABÓCZKY Judit
2486	Richter Sára	5831	RICHTER SÁRA
2448	Galbovy Attila	5893	GALBOVY ATTILA
1461	Dániel András	4624	DÁNIEL András
988	Nagy Gergely	4633	NAGY Gergely
966	Domián Gyula	17187	DOMIÁN Gyula
13827	Zalavári András	17429	ZALAVÁRI András
12798	Erlich Gábor	10644	ERLICH Gábor
9161	Boldi	8202	BOLDI
5093	Bucsi Árpád	5899	BUCSI ÁRPÁD
4025	Barta Zsolt Péter	9324	BARTA Zsolt Péter
4025	Barta Zsolt Péter	7267	Barta ZSolt Péter
3698	Elek Judit Katalin	9184	ELEK Judit Katalin
1783	Andrási Gábor	1718	Andrási gábor
1766	Horváth Balázs	12680	HORVÁTH Balázs
1139	Filp Csaba	14499	FILP CSABA
256	Bolcsó Bálint	14561	BOLCSÓ BÁLINT
14083	Molnár Dóra Eszter	16641	MOLNÁR DÓRA ESZTER
11118	Simon Zsuzsanna	10650	SIMON Zsuzsanna
8871	Dragomán György	16730	DRAGOMÁN György
6914	Borsos Róbert	14828	BORSOS Róbert
6665	Fenyvesi Áron	16463	FENYVESI Áron
6665	Fenyvesi Áron	8426	FENYVESI Áron
5989	Oroszy Csaba	1629	OROSZY Csaba
3701	Verebics Kati	3773	VEREBICS KATI
3636	Knyihár Amarilla	3770	KNYIHÁR AMARILLA
2447	Ficzek Ferenc	9643	FICZEK FERENC
2355	Szabó Tamás	5392	SZABÓ Tamás
1997	Kasza Gábor	4362	KASZA Gábor
640	Jozef Cseres	16366	Jozef CSERES
18698	MAYER Éva	24247	Mayer Éva
